id,lat,lng,geoprivacy,observed_on,time_observed_at,place_guess
137701209,-33.7824935911,151.2894897458,open,2022-10-06,2022-10-06T10:27:50+11:00,"Warringah, AU-NS, AU"
137714639,-33.8999520353,151.2705384226,open,2022-10-06,2022-10-06T15:23:31+11:00,"Tamarama Beach, Tamarama, NSW, AU"
137809628,-33.9457086944,151.2573161944,open,2022-10-07,2022-10-07T10:46:53+11:00,"Maroubra Nouvelle-Galles du Sud 2035, Australie"
137831324,-33.98312,151.229995,open,2022-10-01,2022-10-01T09:19:05+10:00,"Elaroo Ave, La Perouse, NSW, AU"
137867182,-33.7317099754,151.3015445108,open,2022-10-08,2022-10-08T02:32:51+11:00,"Collaroy Beach, Collaroy, NSW, AU"
137923361,-33.9502516023,151.2566914701,open,2022-10-08,2022-10-08T11:06:47+11:00,"Maroubra Beach, Maroubra, NSW, AU"
138195996,-33.9504452778,151.2545091944,open,2022-10-10,2022-10-10T10:25:14+11:00,"Maroubra Nouvelle-Galles du Sud 2035, Australie"
138237229,-33.7322166667,151.301925,open,2022-10-10,2022-10-10T11:58:00+11:00,"Collaroy Beach, Sydney, New South Wales"
138237234,-33.7323916667,151.3020638889,open,2022-10-10,2022-10-10T12:17:00+11:00,"Collaroy Beach, Sydney, New South Wales"
138237236,-33.7323916667,151.3020944444,open,2022-10-10,2022-10-10T12:17:00+11:00,"Collaroy Beach, Sydney, New South Wales"
138237243,-33.7350194444,151.3053277778,open,2022-10-10,2022-10-10T12:30:00+11:00,"Fishermans Beach, Long Reef Aquatic Reserve, Collaroy, Sydney, New South Wales"
138237247,-33.7404638889,151.3149111111,open,2022-10-10,2022-10-10T12:50:00+11:00,"Long Reef Aquatic Reserve, Collaroy, Sydney, New South Wales"
138237254,-33.7419305556,151.3175805556,open,2022-10-10,2022-10-10T12:59:00+11:00,"Long Reef Rock Platform, Long Reef Aquatic Reserve, Collaroy, Sydney, New South Wales"
138237260,-33.7422972222,151.3170916667,open,2022-10-10,2022-10-10T13:10:00+11:00,"Long Reef Rock Platform, Long Reef Aquatic Reserve, Collaroy, Sydney, New South Wales"
138346686,-33.9440537778,151.2545091944,open,2022-10-11,2022-10-11T13:43:22+11:00,"Maroubra Nouvelle-Galles du Sud 2035, Australie"
138350209,-33.9487140061,151.2571273372,open,2022-10-08,2022-10-08T13:12:34+11:00,Maroubra Beach
138350229,-33.9487140061,151.2571273372,open,2022-10-07,2022-10-07T09:12:19+11:00,Maroubra Beach
138350310,-33.9203383832,151.258132495,open,2022-10-11,2022-10-11T08:00:35+11:00,"Arden St opp Coogee Bay Rd, Coogee NSW 2034, Australia"
138451199,-33.9454346944,151.2573605833,open,2022-10-12,2022-10-12T10:29:20+11:00,"Maroubra Nouvelle-Galles du Sud 2035, Australie"
138569386,-33.948575222,151.2571521476,open,2022-10-13,2022-10-13T12:00:03+11:00,"Maroubra Nouvelle-Galles du Sud 2035, Australie"
138712761,-33.9456700833,151.2572982778,open,2022-10-14,2022-10-14T11:15:24+11:00,"Maroubra Nouvelle-Galles du Sud 2035, Australie"
139145051,-33.9438267778,151.2548735833,open,2022-10-17,,"Maroubra Nouvelle-Galles du Sud 2035, Australie"
139320905,-33.788475,151.288025,open,2022-10-19,2022-10-19T15:45:05+11:00,"Manly Beach, Manly, NSW, AU"
139402645,-33.9493815016,151.2570291013,open,2022-10-20,2022-10-20T16:41:57+11:00,"Maroubra NSW 2035, Australia"
139403218,-33.9476860528,151.2574803829,open,2022-10-20,2022-10-20T16:53:48+11:00,"Maroubra SLSC, Marine Parade, Maroubra NSW 2035, Australia"
139501826,-33.9491473742,151.2570624858,open,2022-10-21,2022-10-21T17:31:00+11:00,"Sydney NSW, Australia"
139501897,-33.9475130573,151.2576758489,open,2022-10-21,2022-10-21T17:38:00+11:00,maroubra beach
139506309,-33.9213118586,151.2573975697,open,2022-10-21,2022-10-21T19:03:31+11:00,"Arden St at Coogee Bay Rd, Coogee NSW 2034, Australie"
139590652,-33.9485181944,151.2563487778,open,2022-10-22,2022-10-22T14:08:01+11:00,"Maroubra Nouvelle-Galles du Sud 2035, Australie"
139834603,-33.946212,151.2570640833,open,2022-10-24,2022-10-24T13:49:10+11:00,"Marine Parade opp Maroubra SLSC, Maroubra NSW 2035, Australie"
139936277,-33.9445471944,151.260153,open,2022-10-25,2022-10-25T14:31:28+11:00,"Maroubra Nouvelle-Galles du Sud 2035, Australie"
141656469,-33.9450421944,151.2598136944,open,2022-11-11,2022-11-11T10:48:20+11:00,"Marine Pde opp Bond St, Maroubra NSW 2035, Australie"
141748485,-33.9485385095,151.2570817396,open,2022-11-12,2022-11-12T11:39:00+11:00,Maroubra
141942231,-33.9462042778,151.2568193889,open,2022-11-14,2022-11-14T09:56:34+11:00,"Marine Parade opp Maroubra SLSC, Maroubra NSW 2035, Australie"
142321116,-33.98905887,151.2360649556,open,2015-12-15,,"La Perouse NSW 2036, Australia"
142572637,-33.8908094468,151.2784834206,open,2006-02-21,2006-02-21T16:44:13+11:00,"Bondi Beach NSW 2026, Australia"
143320420,-33.9521632,151.2570752,open,2022-11-30,2022-11-30T11:06:05+11:00,"Maroubra Beach, Maroubra NSW 2035, Australia"
143397548,-33.9474616035,151.2576805428,open,2022-12-01,2022-12-01T09:30:37+11:00,"Maroubra SLSC, Marine Parade, Maroubra NSW 2035, Australia"
143545258,-33.9462042778,151.2568193889,open,2022-11-14,2022-11-14T09:49:20+11:00,"Marine Parade opp Maroubra SLSC, Maroubra NSW 2035, Australie"
143545311,-33.9441121944,151.2593615833,open,2022-12-03,2022-12-03T13:31:23+11:00,"Maroubra Nouvelle-Galles du Sud 2035, Australie"
143687052,-33.9487140061,151.2571273372,open,2022-12-04,2022-12-04T11:43:30+11:00,Maroubra Beach
143687085,-33.9487140061,151.2571273372,open,2022-12-05,2022-12-05T10:07:27+11:00,Maroubra Beach
143762416,-33.752647,151.297875,open,,,Dee why
143769405,-33.9458193889,151.257132,open,2022-12-06,2022-12-06T13:29:02+11:00,"Marine Parade opp Maroubra SLSC, Maroubra NSW 2035, Australie"
143802127,-33.9499817316,151.1591657355,open,2022-12-06,2022-12-06T17:02:13+11:00,"Rockdale, AU-NS, AU"
144113434,-33.6863133333,151.3096616667,open,2022-12-11,2022-12-11T08:25:01+11:00,"Mona Vale Beach, Mona Vale, NSW, AU"
144121723,-33.904319856,151.2686047702,open,2022-10-07,2022-10-07T10:10:06+11:00,"Nelson Bay, Bronte, NSW, AU"
144131526,-33.9487140061,151.2571273372,open,2022-12-11,2022-12-11T17:05:48+11:00,Maroubra Beach
144784075,-33.8942387543,151.2739467993,open,2022-12-21,2022-12-21T16:30:16+11:00,"Bondi Beach NSW 2026, Australia"
144851938,-33.703394,151.3098347,open,2022-12-21,2022-12-21T15:10:14+11:00,"North Narrabeen NSW 2101, Australia"
145040725,-33.9793433177,151.25163652,open,2022-12-25,2022-12-25T16:31:14+11:00,"1, Little Bay NSW 2036, Australia"
145091891,-33.8007807997,151.2932863997,open,2022-12-22,2022-12-22T08:40:00+11:00,"Sydney NSW, Australia"
145093224,-33.7989561962,151.2905915827,open,2022-12-26,2022-12-26T09:57:01+11:00,"Northern Beaches Council, NSW, Australia"
145095570,-33.7801704167,151.2917175278,open,2022-10-01,2022-10-01T07:21:02+10:00,"Freshwater NSW 2096, Australia"
145168432,-33.9801128849,151.2520153821,open,2022-12-27,2022-12-27T18:02:12+11:00,"South End 34L/16R, Mascot NSW 2020, Australia"
145318740,-33.604070604,151.3253647462,open,2022-10-01,2022-10-01T08:26:00+10:00,Palm Beach
145605802,-33.9147916667,151.2614583333,open,2022-12-31,2022-12-31T10:40:30+11:00,"Gordon's Bay, Coogee, NSW, AU"
146103673,-34.0409136997,151.2082179997,open,2023-01-08,2023-01-08T16:36:43+11:00,"Kurnell NSW 2231, Australia"
146321086,-33.8007136668,151.2935041264,open,2022-12-23,2022-12-23T18:05:16+11:00,"Manly NSW 2095, Australia"
